region,fixed_reliability,method,seed,p_mob,placement_trace_path,original_accepted_count,moved_count,moved_ratio,avg_original_delay,p95_original_delay,avg_updated_delay,p95_updated_delay,mobility_induced_qos_violation_ratio,updated_qos_violation_ratio,avg_delay_increment,p95_delay_increment,avg_ingress_backhaul_delay,avg_access_delay_delta
Arizona,0.999,MDCA,1,0.0,D:\Study\Code_1\paper_data\mobility_stress\sim_runs\Arizona\R0p999\MDCA\seed1\placement_trace_Arizona_mdca_seed1.json,934,0,0.0,0.05901342691193055,0.1257685497020139,0.05901342691193055,0.1257685497020139,0.0,0.0,0.0,0.0,0.0,0.0
Arizona,0.999,MDCA,1,0.05,D:\Study\Code_1\paper_data\mobility_stress\sim_runs\Arizona\R0p999\MDCA\seed1\placement_trace_Arizona_mdca_seed1.json,934,47,0.05032119914346895,0.05901342691193055,0.1257685497020139,0.059275565341389405,0.12695408004512237,0.0,0.0,0.0002621384294588531,0.0002105887009594268,0.0002618929416400145,2.4548781883858653e-07
Arizona,0.999,MDCA,1,0.1,D:\Study\Code_1\paper_data\mobility_stress\sim_runs\Arizona\R0p999\MDCA\seed1\placement_trace_Arizona_mdca_seed1.json,934,95,0.10171306209850108,0.05901342691193055,0.1257685497020139,0.05951260390029738,0.1266478031054696,0.0,0.0,0.0004991769883668274,0.005128027708757873,0.0004981325355395104,1.0444528273170002e-06
Arizona,0.999,MDCA,1,0.2,D:\Study\Code_1\paper_data\mobility_stress\sim_runs\Arizona\R0p999\MDCA\seed1\placement_trace_Arizona_mdca_seed1.json,934,194,0.20770877944325483,0.05901342691193055,0.1257685497020139,0.06007968356107823,0.1266478031054696,0.0010706638115631692,0.0010706638115631692,0.0010662566491476812,0.0064390704312134025,0.0010746244810071822,-8.36783185950104e-06
Arizona,0.999,DMDCA,1,0.0,D:\Study\Code_1\paper_data\mobility_stress\sim_runs\Arizona\R0p999\DMDCA\seed1\placement_trace_Arizona_mdca_seed1.json,1154,0,0.0,0.06812285287320169,0.13876079350827122,0.06812285287320169,0.13876079350827122,0.0,0.0,0.0,0.0,0.0,0.0
Arizona,0.999,DMDCA,1,0.05,D:\Study\Code_1\paper_data\mobility_stress\sim_runs\Arizona\R0p999\DMDCA\seed1\placement_trace_Arizona_mdca_seed1.json,1154,46,0.03986135181975736,0.06812285287320169,0.13876079350827122,0.06833310611825015,0.13876079350827122,0.0,0.0,0.00021025324504846124,0.0,0.00021321613613648944,-2.962891088028203e-06
Arizona,0.999,DMDCA,1,0.1,D:\Study\Code_1\paper_data\mobility_stress\sim_runs\Arizona\R0p999\DMDCA\seed1\placement_trace_Arizona_mdca_seed1.json,1154,118,0.1022530329289428,0.06812285287320169,0.13876079350827122,0.06866701948778452,0.13876079350827122,0.0,0.0,0.0005441666145828321,0.005296445255659871,0.0005418066935005499,2.359921082282211e-06
Arizona,0.999,DMDCA,1,0.2,D:\Study\Code_1\paper_data\mobility_stress\sim_runs\Arizona\R0p999\DMDCA\seed1\placement_trace_Arizona_mdca_seed1.json,1154,221,0.19150779896013864,0.06812285287320169,0.13876079350827122,0.06908294628665117,0.13929837799324685,0.0008665511265164644,0.0008665511265164644,0.0009600934134494834,0.006451524935008053,0.0009629260093243199,-2.8325958748362496e-06
Arizona,0.999,MDCA,2,0.0,D:\Study\Code_1\paper_data\mobility_stress\sim_runs\Arizona\R0p999\MDCA\seed2\placement_trace_Arizona_mdca_seed2.json,894,0,0.0,0.05636152149251374,0.11812970840001163,0.05636152149251374,0.11812970840001163,0.0,0.0,0.0,0.0,0.0,0.0
Arizona,0.999,MDCA,2,0.05,D:\Study\Code_1\paper_data\mobility_stress\sim_runs\Arizona\R0p999\MDCA\seed2\placement_trace_Arizona_mdca_seed2.json,894,45,0.050335570469798654,0.05636152149251374,0.11812970840001163,0.05661841699289851,0.11812970840001163,0.0011185682326621924,0.0011185682326621924,0.00025689550038476616,0.00040121308384403353,0.000251842028904567,5.053471480199204e-06
