region,fixed_reliability,method,share,share_tag,domain_count,domain_failure_prob,total_accepted_mean,total_accepted_std,total_accepted_count,expected_target_satisfaction_ratio_mean,expected_target_satisfaction_ratio_std,expected_target_satisfaction_ratio_count,expected_reliability_mean,expected_reliability_std,expected_reliability_count,expected_reliability_loss_mean,expected_reliability_loss_std,expected_reliability_loss_count,total_accepted_ci95,expected_target_satisfaction_ratio_ci95,expected_reliability_ci95,expected_reliability_loss_ci95
Alabama,0.998,DMDCA,"0.6,0.4",0p6_0p4,6,0.03,1342.0,16.170961628796217,5,0.8971712018109435,0.002348044686482203,5,0.9786503857963721,0.001263223536935935,5,0.020195412965453553,0.0012585193356819413,5,14.1744728297034,0.0020581519130071046,0.0011072642501516556,0.0011031408359484173
Alabama,0.998,DMDCA,"0.6,0.4",0p6_0p4,6,0.05,1342.0,16.170961628796217,5,0.833759321143716,0.003719821576504985,5,0.9642485797821768,0.002043670324652212,5,0.034597218979648806,0.0020389974016070066,5,14.1744728297034,0.003260567372420351,0.0017913560216523917,0.0017872600240079726
Alabama,0.998,DMDCA,"0.7,0.3",0p7_0p3,6,0.0,1342.2,14.131525041551612,5,1.0,0.0,5,0.9988458431231241,6.041046720424486e-06,5,6.883382752675971e-16,9.134916126074183e-16,5,12.386827842510767,0.0,5.29521091987296e-06,8.007107023251077e-16
Alabama,0.998,DMDCA,"0.7,0.3",0p7_0p3,6,0.01,1342.2,14.131525041551612,5,0.9645367790853225,0.0006242275487465756,5,0.9924153248603116,0.00033176318224434386,5,0.0064305182628133116,0.0003280831733351688,5,12.386827842510767,0.0005471595711107717,0.0002908032509485593,0.0002875775809177032
Alabama,0.998,DMDCA,"0.7,0.3",0p7_0p3,6,0.03,1342.2,14.131525041551612,5,0.8968242436729298,0.001790979848165724,5,0.9789683882157467,0.0009587721602233853,5,0.019877454907378134,0.0009550650174310994,5,12.386827842510767,0.0015698630532376748,0.0008404008522759766,0.0008371513983479201
Alabama,0.998,DMDCA,"0.7,0.3",0p7_0p3,6,0.05,1342.2,14.131525041551612,5,0.8332176759969252,0.0028538688521975047,5,0.9647564253128504,0.001547829323968727,5,0.034089417810274344,0.001544075207134069,5,12.386827842510767,0.0025015263429341216,0.0013567322216969544,0.0013534415932053478
Alabama,0.998,MDCA,none,none,6,0.0,1292.8,12.275992831539126,5,1.0,0.0,5,0.9988546425697808,1.052514645847977e-05,5,9.547918011776346e-16,9.107889687773288e-16,5,10.76038214934767,0.0,9.225697638085509e-06,7.983417305584719e-16
Alabama,0.998,MDCA,none,none,6,0.01,1292.8,12.275992831539126,5,0.9652871568100512,0.0006292788700896826,5,0.9917189709627067,0.00030423104382390384,5,0.007135671607075178,0.00030261025832295177,5,10.76038214934767,0.0005515872494873288,0.000266670267583551,0.0002652495864531655
Alabama,0.998,MDCA,none,none,6,0.03,1292.8,12.275992831539126,5,0.8989551135743483,0.0017969888808684997,5,0.9769133741336626,0.0008869631751933984,5,0.02194126843611923,0.0008853680166474565,5,10.76038214934767,0.0015751302026338243,0.0007774575016824177,0.0007760592835685282
Alabama,0.998,MDCA,none,none,6,0.05,1292.8,12.275992831539126,5,0.8365776554922848,0.0028496890676431644,5,0.9614122470036086,0.0014398317706770798,5,0.037442395566173126,0.0014381666703494648,5,10.76038214934767,0.0024978626002353514,0.001262068192435947,0.0012606086676473659
Alabama,0.999,DMDCA,"0.5,0.5",0p5_0p5,6,0.0,1109.6,12.720062892926284,5,1.0,0.0,5,0.9993723630595349,9.564796088547624e-06,5,-5.773159728050814e-16,9.595564536871448e-16,5,11.149626720209067,0.0,8.383913424004803e-06,8.41088315807689e-16
Alabama,0.999,DMDCA,"0.5,0.5",0p5_0p5,6,0.01,1109.6,12.720062892926284,5,0.9654722414663588,0.0004090977117436496,5,0.9933562897863386,0.0002005984000129838,5,0.0060160732731956434,0.0001943554127460345,5,11.149626720209067,0.0003585899548161801,0.00017583225017381933,0.00017036003056050358
